cell_type,coarse_label,cells
B cell,B_cell,207354
naive B cell,B_cell,168550
memory B cell,B_cell,150455
transitional stage B cell,B_cell,35945
follicular B cell,B_cell,12138
germinal center B cell,B_cell,8397
mature B cell,B_cell,8310
Be cell,B_cell,4500
class switched memory B cell,B_cell,3710
unswitched memory B cell,B_cell,411
immature B cell,B_cell,1
"naive thymus-derived CD4-positive, alpha-beta T cell",CD4_T,579062
"central memory CD4-positive, alpha-beta T cell",CD4_T,512225
"CD4-positive, alpha-beta T cell",CD4_T,361752
"effector memory CD4-positive, alpha-beta T cell",CD4_T,139245
regulatory T cell,CD4_T,47909
"CD4-positive, alpha-beta memory T cell",CD4_T,40347
"CD4-positive, alpha-beta cytotoxic T cell",CD4_T,32052
CD4-positive helper T cell,CD4_T,24290
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CD4_T,16110
"CD4-positive, alpha-beta thymocyte",CD4_T,12936
"effector CD4-positive, alpha-beta T cell",CD4_T,7828
memory regulatory T cell,CD4_T,7751
naive regulatory T cell,CD4_T,6506
helper T cell,CD4_T,4644
"activated CD4-positive, alpha-beta T cell",CD4_T,4484
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4_T,3701
T follicular helper cell,CD4_T,3140
T-helper 17 cell,CD4_T,2486
"lung resident memory CD4-positive, alpha-beta T cell",CD4_T,1859
T-helper 1 cell,CD4_T,1595
memory CCR4-positive regulatory T cell,CD4_T,1023
"effector memory CD8-positive, alpha-beta T cell",CD8_T,236995
"CD8-positive, alpha-beta T cell",CD8_T,213263
"naive thymus-derived CD8-positive, alpha-beta T cell",CD8_T,210085
"CD8-positive, alpha-beta memory T cell",CD8_T,96412
"CD8-positive, alpha-beta cytotoxic T cell",CD8_T,52793
"central memory CD8-positive, alpha-beta T cell",CD8_T,26099
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CD8_T,19390
"activated CD8-positive, alpha-beta T cell",CD8_T,5116
"CD8-positive, alpha-beta thymocyte",CD8_T,4926
"lung resident memory CD8-positive, alpha-beta T cell",CD8_T,3886
"effector CD8-positive, alpha-beta T cell",CD8_T,2272
"CD8-positive, alpha-beta regulatory T cell",CD8_T,525
granzyme K-associated CD8 T cell,CD8_T,34
"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CD8_T,17
natural killer cell,NK_ILC,350093
"CD16-positive, CD56-dim natural killer cell, human",NK_ILC,236874
"group 3 innate lymphoid cell, human",NK_ILC,51874
"CD16-negative, CD56-bright natural killer cell, human",NK_ILC,24444
"CD34-negative, CD117-positive innate lymphoid cell, human",NK_ILC,16254
innate lymphoid cell,NK_ILC,6049
group 3 innate lymphoid cell,NK_ILC,3023
group 1 innate lymphoid cell,NK_ILC,2961
immature innate lymphoid cell,NK_ILC,2227
hepatic pit cell,NK_ILC,231
retinal pigment epithelial cell,RPE,125301
T cell,T_other,154141
gamma-delta T cell,T_other,66527
mucosal invariant T cell,T_other,52529
mature NK T cell,T_other,14706
mature gamma-delta T cell,T_other,10904
double negative thymocyte,T_other,2644
immature NK T cell,T_other,2629
memory T cell,T_other,1727
naive T cell,T_other,1616
CD8aa(I) thymocyte,T_other,1310
"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",T_other,1303
mature alpha-beta T cell,T_other,585
double negative T regulatory cell,T_other,460
immature alpha-beta T cell,T_other,341
thymocyte,T_other,319
cytotoxic T cell,T_other,63
pro-T cell,T_other,53
"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",T_other,17
preadipocyte,adipocyte_MSC,52482
mesenchymal stem cell,adipocyte_MSC,31754
adipocyte,adipocyte_MSC,31408
mesenchymal stem cell of adipose tissue,adipocyte_MSC,28347
adipocyte of omentum tissue,adipocyte_MSC,14263
subcutaneous adipocyte,adipocyte_MSC,12205
adipocyte of breast,adipocyte_MSC,7183
fibro/adipogenic progenitor cell,adipocyte_MSC,3302
epicardial adipocyte,adipocyte_MSC,437
GABAergic amacrine cell,amacrine,329932
glycinergic amacrine cell,amacrine,120409
amacrine cell,amacrine,117076
starburst amacrine cell,amacrine,17373
astrocyte,astrocyte,294322
retinal astrocyte,astrocyte,14586
astrocyte of the cerebral cortex,astrocyte,2776
immature astrocyte,astrocyte,2404
Bergmann glial cell,astrocyte,236
dendritic cell,dendritic_cell,20482
CD1c-positive myeloid dendritic cell,dendritic_cell,20003
conventional dendritic cell,dendritic_cell,19731
plasmacytoid dendritic cell,dendritic_cell,16721
myeloid dendritic cell,dendritic_cell,3582
"dendritic cell, human",dendritic_cell,2541
CD141-positive myeloid dendritic cell,dendritic_cell,1060
pre-conventional dendritic cell,dendritic_cell,833
"myeloid dendritic cell, human",dendritic_cell,543
"Axl+ dendritic cell, human",dendritic_cell,225
liver dendritic cell,dendritic_cell,181
mature conventional dendritic cell,dendritic_cell,122
Langerhans cell,dendritic_cell,120
monocyte-derived dendritic cell,dendritic_cell,4
endothelial cell,endothelial,150877
blood vessel endothelial cell,endothelial,130392
endothelial cell of venule,endothelial,68532
capillary endothelial cell,endothelial,52691
vein endothelial cell,endothelial,48842
endothelial cell of lymphatic vessel,endothelial,44032
fenestrated endothelial cell,endothelial,36777
endothelial cell of artery,endothelial,28783
endothelial cell of arteriole,endothelial,26379
cardiac endothelial cell,endothelial,25150
endothelial cell of vascular tree,endothelial,9700
alveolar capillary type 1 endothelial cell,endothelial,2928
vein endothelial cell of respiratory system,endothelial,2682
retinal blood vessel endothelial cell,endothelial,2382
pulmonary artery endothelial cell,endothelial,2216
vascular lymphangioblast,endothelial,2012
pulmonary capillary endothelial cell,endothelial,1989
alveolar capillary type 2 endothelial cell,endothelial,1806
prostate gland microvascular endothelial cell,endothelial,1547
endothelial cell of respiratory system lymphatic vessel,endothelial,1322
endothelial cell of pericentral hepatic sinusoid,endothelial,870
endothelial cell of uterus,endothelial,494
lung microvascular endothelial cell,endothelial,225
endothelial cell of periportal hepatic sinusoid,endothelial,183
colon endothelial cell,endothelial,137
