symbol	ensembl_id
LINC01409	ENSG00000237491
NOC2L	ENSG00000188976
PERM1	ENSG00000187642
ENSG00000272512	ENSG00000272512
HES4	ENSG00000188290
ISG15	ENSG00000187608
AGRN	ENSG00000188157
RNF223	ENSG00000237330
C1orf159	ENSG00000131591
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
SDF4	ENSG00000078808
B3GALT6	ENSG00000176022
UBE2J2	ENSG00000160087
ACAP3	ENSG00000131584
PUSL1	ENSG00000169972
INTS11	ENSG00000127054
CPTP	ENSG00000224051
DVL1	ENSG00000107404
MXRA8	ENSG00000162576
AURKAIP1	ENSG00000175756
CCNL2	ENSG00000221978
MRPL20	ENSG00000242485
VWA1	ENSG00000179403
ATAD3A	ENSG00000197785
SSU72	ENSG00000160075
SSU72-AS1	ENSG00000215014
FNDC10	ENSG00000228594
ENSG00000272106	ENSG00000272106
MIB2	ENSG00000197530
MMP23B	ENSG00000189409
CDK11B	ENSG00000248333
SLC35E2B	ENSG00000189339
CDK11A	ENSG00000008128
SLC35E2A	ENSG00000215790
NADK	ENSG00000008130
GNB1	ENSG00000078369
GABRD	ENSG00000187730
PRKCZ	ENSG00000067606
FAAP20	ENSG00000162585
SKI	ENSG00000157933
RER1	ENSG00000157916
PEX10	ENSG00000157911
PANK4	ENSG00000157881
HES5	ENSG00000197921
ENSG00000272449	ENSG00000272449
TNFRSF14-AS1	ENSG00000238164
TNFRSF14	ENSG00000157873
PRXL2B	ENSG00000157870
MMEL1	ENSG00000142606
PRDM16	ENSG00000142611
ENSG00000272235	ENSG00000272235
ARHGEF16	ENSG00000130762
MEGF6	ENSG00000162591
TPRG1L	ENSG00000158109
WRAP73	ENSG00000116213
SMIM1	ENSG00000235169
LRRC47	ENSG00000130764
CEP104	ENSG00000116198
DFFB	ENSG00000169598
C1orf174	ENSG00000198912
NPHP4	ENSG00000131697
KCNAB2	ENSG00000069424
RPL22	ENSG00000116251
ICMT	ENSG00000116237
ACOT7	ENSG00000097021
TNFRSF25	ENSG00000215788
PLEKHG5	ENSG00000171680
NOL9	ENSG00000162408
ZBTB48	ENSG00000204859
KLHL21	ENSG00000162413
PHF13	ENSG00000116273
THAP3	ENSG00000041988
DNAJC11	ENSG00000007923
CAMTA1	ENSG00000171735
VAMP3	ENSG00000049245
PER3	ENSG00000049246
PARK7	ENSG00000116288
ERRFI1	ENSG00000116285
RERE	ENSG00000142599
ENO1	ENSG00000074800
