model,cohort,cell_type,n_cells,acc_P,acc_P2BJ,delta,ci_low,ci_high,excludes_zero
geneformer,aida,B cell,107,0.0,0.6261682242990654,0.6261682242990654,0.5299978632478632,0.7226911556701888,True
geneformer,aida,"CD14-low, CD16-positive monocyte",423,0.983451536643026,0.9787234042553191,-0.004728132387706863,-0.014669926650366705,0.0045462346577908,False
geneformer,aida,CD14-positive monocyte,1932,0.984472049689441,0.8876811594202898,-0.09679089026915122,-0.11310868416214721,-0.08178020971013436,True
geneformer,aida,CD141-positive myeloid dendritic cell,5,0.0,1.0,1.0,1.0,1.0,True
geneformer,aida,"CD16-negative, CD56-bright natural killer cell, human",63,0.7936507936507936,0.9682539682539683,0.17460317460317465,0.07692307692307687,0.28302672955974845,True
geneformer,aida,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9904822335025381,0.9206852791878173,-0.06979695431472077,-0.08233242338844793,-0.05760492196141082,True
geneformer,aida,CD1c-positive myeloid dendritic cell,131,0.4198473282442748,0.8473282442748091,0.42748091603053434,0.30766129032258066,0.5466752136752135,True
geneformer,aida,"CD4-positive, alpha-beta T cell",361,0.0,0.24653739612188366,0.24653739612188366,0.20658682634730538,0.2888932291666666,True
geneformer,aida,"CD4-positive, alpha-beta cytotoxic T cell",102,0.13725490196078433,0.8921568627450981,0.7549019607843137,0.6704514235764235,0.8349539585627065,True
geneformer,aida,"CD8-positive, alpha-beta T cell",579,0.6183074265975821,0.5958549222797928,-0.022452504317789335,-0.06179826353421852,0.015154083204930743,False
geneformer,aida,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8823529411764706,0.8093306288032455,-0.0730223123732251,-0.10144927536231885,-0.046937181122449,True
geneformer,aida,"CD8-positive, alpha-beta memory T cell",263,0.6463878326996197,0.8365019011406845,0.1901140684410647,0.14503674905644318,0.23826750056407936,True
geneformer,aida,T cell,564,0.5585106382978723,0.5283687943262412,-0.03014184397163111,-0.052121863628310165,-0.007352941176470562,True
