model,cohort,arm,cell_type,n_cells,n_donors,accuracy,ci_low,ci_high,n_boot_used
geneformer,aida,B,B cell,107,84,0.6355140186915887,0.5370370370370371,0.7297297297297297,2000
geneformer,aida,B,"CD14-low, CD16-positive monocyte",423,286,0.9692671394799054,0.9517233050141596,0.9840555756885484,2000
geneformer,aida,B,CD14-positive monocyte,1932,529,0.9855072463768116,0.9799157944738501,0.9904254606472029,2000
geneformer,aida,B,CD141-positive myeloid dendritic cell,5,5,0.0,0.0,0.0,1992
geneformer,aida,B,"CD16-negative, CD56-bright natural killer cell, human",63,62,0.6984126984126984,0.5817654808959156,0.8125,2000
geneformer,aida,B,"CD16-positive, CD56-dim natural killer cell, human",1576,493,0.9619289340101523,0.9513503391031481,0.9721202803509221,2000
geneformer,aida,B,CD1c-positive myeloid dendritic cell,131,116,0.8625954198473282,0.8066612903225806,0.9140791545542635,2000
geneformer,aida,B,"CD4-positive, alpha-beta T cell",361,266,0.036011080332409975,0.016483516483516484,0.0569804260218768,2000
geneformer,aida,B,"CD4-positive, alpha-beta cytotoxic T cell",102,84,0.7156862745098039,0.6306257344300823,0.8,2000
geneformer,aida,B,"CD8-positive, alpha-beta T cell",579,323,0.5785837651122625,0.5366161894851906,0.6209575816674793,2000
geneformer,aida,B,"CD8-positive, alpha-beta cytotoxic T cell",493,285,0.9006085192697769,0.8747415329768271,0.9243420732301101,2000
geneformer,aida,B,"CD8-positive, alpha-beta memory T cell",263,194,0.844106463878327,0.8014270993263897,0.884071906354515,2000
geneformer,aida,B,T cell,564,236,0.7730496453900709,0.7222140039447732,0.8143327997292936,2000
geneformer,aida,B,"central memory CD4-positive, alpha-beta T cell",1130,470,0.9424778761061947,0.9296910495229441,0.9562512050128535,2000
geneformer,aida,B,double negative T regulatory cell,3,3,0.0,0.0,0.0,1893
geneformer,aida,B,"effector memory CD4-positive, alpha-beta T cell",233,189,0.7896995708154506,0.7325089343729695,0.8400040983606557,2000
geneformer,aida,B,gamma-delta T cell,320,189,0.734375,0.6796250092407777,0.7891812865497077,2000
geneformer,aida,B,hematopoietic stem cell,2,2,0.0,0.0,0.0,1737
geneformer,aida,B,innate lymphoid cell,6,6,0.16666666666666666,0.0,0.5,1995
geneformer,aida,B,mature B cell,51,49,0.09803921568627451,0.022727272727272728,0.1836734693877551,2000
geneformer,aida,B,memory B cell,338,235,0.9733727810650887,0.9561371353603951,0.9886363636363636,2000
geneformer,aida,B,mucosal invariant T cell,219,166,0.9954337899543378,0.9850689733152419,1.0,2000
geneformer,aida,B,myeloid cell,263,188,0.5665399239543726,0.5060088730372754,0.6250238549618319,2000
geneformer,aida,B,naive B cell,335,230,0.9940298507462687,0.9839730707395498,1.0,2000
geneformer,aida,B,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,495,0.9639344262295082,0.9534568001958066,0.9727906547234277,2000
geneformer,aida,B,"naive thymus-derived CD8-positive, alpha-beta T cell",851,376,0.9776733254994124,0.9660010880668924,0.9873583434413447,2000
geneformer,aida,B,natural killer cell,235,136,0.6553191489361702,0.5734537666818696,0.7254118450658952,2000
geneformer,aida,B,plasma cell,18,17,0.8333333333333334,0.6314144736842106,1.0,2000
geneformer,aida,B,plasmacytoid dendritic cell,30,29,0.9666666666666667,0.8857142857142857,1.0,2000
geneformer,aida,B,platelet,178,120,1.0,1.0,1.0,2000
geneformer,aida,B,pre-conventional dendritic cell,7,6,0.0,0.0,0.0,1994
geneformer,aida,B,regulatory T cell,157,138,0.9235668789808917,0.8793021084998902,0.960532765737874,2000
geneformer,aida,P,B cell,107,84,0.0,0.0,0.0,2000
geneformer,aida,P,"CD14-low, CD16-positive monocyte",423,286,0.983451536643026,0.9698358333782982,0.9936575052854123,2000
geneformer,aida,P,CD14-positive monocyte,1932,529,0.984472049689441,0.978522082720785,0.98969111958869,2000
geneformer,aida,P,CD141-positive myeloid dendritic cell,5,5,0.0,0.0,0.0,1992
geneformer,aida,P,"CD16-negative, CD56-bright natural killer cell, human",63,62,0.7936507936507936,0.6909090909090909,0.8888888888888888,2000
geneformer,aida,P,"CD16-positive, CD56-dim natural killer cell, human",1576,493,0.9904822335025381,0.9857647386965476,0.9949148201002609,2000
geneformer,aida,P,CD1c-positive myeloid dendritic cell,131,116,0.4198473282442748,0.3333333333333333,0.5068516933028919,2000
geneformer,aida,P,"CD4-positive, alpha-beta T cell",361,266,0.0,0.0,0.0,2000
