cell_type,coarse_label
B cell,B cell
"CD8-positive, alpha-beta cytotoxic T cell","CD8-positive, alpha-beta cytotoxic T cell"
adventitial fibroblast,adventitial fibroblast
alveolar macrophage,alveolar macrophage
alveolar type 1 fibroblast cell,alveolar type 1 fibroblast cell
basal cell,basal cell
ciliated cell,ciliated cell
classical monocyte,classical monocyte
conventional dendritic cell,conventional dendritic cell
endothelial cell of arteriole,endothelial cell of arteriole
endothelial cell of respiratory system lymphatic vessel,endothelial cell of respiratory system lymphatic vessel
epithelial cell of lung,epithelial cell of lung
granzyme K-associated CD8 T cell,granzyme K-associated CD8 T cell
helper T cell,helper T cell
hematopoietic cell,hematopoietic cell
lung interstitial macrophage,lung interstitial macrophage
lung secretory cell,lung secretory cell
macrophage,macrophage
mast cell,mast cell
mesothelial cell of pleura,mesothelial cell of pleura
monocyte,monocyte
"myeloid dendritic cell, human","myeloid dendritic cell, human"
myofibroblast cell,myofibroblast cell
natural killer cell,natural killer cell
pericyte,pericyte
plasma cell,plasma cell
plasmacytoid dendritic cell,plasmacytoid dendritic cell
pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell
pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell
pulmonary capillary endothelial cell,pulmonary capillary endothelial cell
pulmonary neuroendocrine cell,pulmonary neuroendocrine cell
smooth muscle cell,smooth muscle cell
vein endothelial cell of respiratory system,vein endothelial cell of respiratory system
