arm,cell_type,n_cells,accuracy,f1
P,B cell,107,0.0,0.0
P,"CD14-low, CD16-positive monocyte",423,0.983451536643026,0.9234184239733629
P,CD14-positive monocyte,1932,0.984472049689441,0.9476831091180867
P,CD141-positive myeloid dendritic cell,5,0.0,0.0
P,"CD16-negative, CD56-bright natural killer cell, human",63,0.7936507936507936,0.847457627118644
P,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9904822335025381,0.9133996489174956
P,CD1c-positive myeloid dendritic cell,131,0.4198473282442748,0.5583756345177665
P,"CD4-positive, alpha-beta T cell",361,0.0,0.0
P,"CD4-positive, alpha-beta cytotoxic T cell",102,0.13725490196078433,0.23728813559322035
P,"CD8-positive, alpha-beta T cell",579,0.6183074265975821,0.6605166051660517
P,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8823529411764706,0.7467811158798283
P,"CD8-positive, alpha-beta memory T cell",263,0.6463878326996197,0.68
P,T cell,564,0.5585106382978723,0.5844155844155844
P,"central memory CD4-positive, alpha-beta T cell",1130,0.9309734513274336,0.8473620620217479
P,double negative T regulatory cell,3,0.0,0.0
P,"effector memory CD4-positive, alpha-beta T cell",233,0.7424892703862661,0.726890756302521
P,gamma-delta T cell,320,0.596875,0.6821428571428572
P,hematopoietic stem cell,2,0.0,0.0
P,innate lymphoid cell,6,0.0,0.0
P,mature B cell,51,0.0,0.0
P,memory B cell,338,0.985207100591716,0.8638132295719845
P,mucosal invariant T cell,219,0.9817351598173516,0.9071729957805907
P,myeloid cell,263,0.5361216730038023,0.6635294117647059
P,naive B cell,335,0.9970149253731343,0.9277777777777778
P,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.9757377049180328,0.9265255292652553
P,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.982373678025852,0.9414414414414415
P,natural killer cell,235,0.09787234042553192,0.17692307692307693
P,plasma cell,18,0.0,0.0
P,plasmacytoid dendritic cell,30,0.0,0.0
P,platelet,178,1.0,0.9971988795518207
P,pre-conventional dendritic cell,7,0.0,0.0
P,regulatory T cell,157,0.8280254777070064,0.858085808580858
B,B cell,107,0.6355140186915887,0.7640449438202247
B,"CD14-low, CD16-positive monocyte",423,0.9692671394799054,0.9579439252336449
B,CD14-positive monocyte,1932,0.9855072463768116,0.963318998229193
B,CD141-positive myeloid dendritic cell,5,0.0,0.0
B,"CD16-negative, CD56-bright natural killer cell, human",63,0.6984126984126984,0.8
B,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9619289340101523,0.951364919987449
B,CD1c-positive myeloid dendritic cell,131,0.8625954198473282,0.8560606060606061
B,"CD4-positive, alpha-beta T cell",361,0.036011080332409975,0.06598984771573604
B,"CD4-positive, alpha-beta cytotoxic T cell",102,0.7156862745098039,0.7684210526315789
B,"CD8-positive, alpha-beta T cell",579,0.5785837651122625,0.6568627450980392
B,"CD8-positive, alpha-beta cytotoxic T cell",493,0.9006085192697769,0.7837599293909974
B,"CD8-positive, alpha-beta memory T cell",263,0.844106463878327,0.7449664429530202
B,T cell,564,0.7730496453900709,0.7934485896269335
B,"central memory CD4-positive, alpha-beta T cell",1130,0.9424778761061947,0.8578332662102296
B,double negative T regulatory cell,3,0.0,0.0
B,"effector memory CD4-positive, alpha-beta T cell",233,0.7896995708154506,0.7682672233820459
B,gamma-delta T cell,320,0.734375,0.8231173380035026
B,hematopoietic stem cell,2,0.0,0.0
B,innate lymphoid cell,6,0.16666666666666666,0.2857142857142857
B,mature B cell,51,0.09803921568627451,0.17857142857142858
B,memory B cell,338,0.9733727810650887,0.89280868385346
B,mucosal invariant T cell,219,0.9954337899543378,0.9121338912133892
B,myeloid cell,263,0.5665399239543726,0.6882217090069284
B,naive B cell,335,0.9940298507462687,0.9596541786743515
B,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.9639344262295082,0.9372011475932419
B,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9776733254994124,0.9607390300230947
B,natural killer cell,235,0.6553191489361702,0.7475728155339806
B,plasma cell,18,0.8333333333333334,0.9090909090909091
B,plasmacytoid dendritic cell,30,0.9666666666666667,0.9508196721311475
B,platelet,178,1.0,0.9971988795518207
B,pre-conventional dendritic cell,7,0.0,0.0
B,regulatory T cell,157,0.9235668789808917,0.8708708708708709
P2BA,B cell,107,0.616822429906542,0.75
P2BA,"CD14-low, CD16-positive monocyte",423,0.9763593380614657,0.9638273045507585
P2BA,CD14-positive monocyte,1932,0.9808488612836439,0.9660973744583227
P2BA,CD141-positive myeloid dendritic cell,5,0.0,0.0
P2BA,"CD16-negative, CD56-bright natural killer cell, human",63,0.873015873015873,0.8661417322834646
P2BA,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9847715736040609,0.9495258488834506
P2BA,CD1c-positive myeloid dendritic cell,131,0.8625954198473282,0.8625954198473282
P2BA,"CD4-positive, alpha-beta T cell",361,0.14127423822714683,0.20987654320987653
P2BA,"CD4-positive, alpha-beta cytotoxic T cell",102,0.8235294117647058,0.8155339805825242
P2BA,"CD8-positive, alpha-beta T cell",579,0.6614853195164075,0.7027522935779816
P2BA,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8519269776876268,0.8171206225680934
P2BA,"CD8-positive, alpha-beta memory T cell",263,0.779467680608365,0.7536764705882353
P2BA,T cell,564,0.7960992907801419,0.8119349005424955
P2BA,"central memory CD4-positive, alpha-beta T cell",1130,0.9026548672566371,0.8585858585858586
P2BA,double negative T regulatory cell,3,0.0,0.0
P2BA,"effector memory CD4-positive, alpha-beta T cell",233,0.8197424892703863,0.7732793522267206
P2BA,gamma-delta T cell,320,0.771875,0.8401360544217688
P2BA,hematopoietic stem cell,2,0.0,0.0
P2BA,innate lymphoid cell,6,0.8333333333333334,0.7692307692307693
P2BA,mature B cell,51,0.5686274509803921,0.6823529411764706
P2BA,memory B cell,338,0.9733727810650887,0.9189944134078212
P2BA,mucosal invariant T cell,219,0.9863013698630136,0.9290322580645162
P2BA,myeloid cell,263,0.6425855513307985,0.7347826086956522
P2BA,naive B cell,335,0.9850746268656716,0.9635036496350365
P2BA,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.958688524590164,0.9392868615483456
P2BA,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9764982373678026,0.9690962099125364
P2BA,natural killer cell,235,0.6382978723404256,0.75
P2BA,plasma cell,18,1.0,1.0
P2BA,plasmacytoid dendritic cell,30,0.9666666666666667,0.9508196721311475
P2BA,platelet,178,1.0,0.9971988795518207
P2BA,pre-conventional dendritic cell,7,0.0,0.0
P2BA,regulatory T cell,157,0.9363057324840764,0.8647058823529412
P2BU,B cell,107,0.4953271028037383,0.6583850931677019
P2BU,"CD14-low, CD16-positive monocyte",423,0.966903073286052,0.970344009489917
P2BU,CD14-positive monocyte,1932,0.9813664596273292,0.9626808834729627
P2BU,CD141-positive myeloid dendritic cell,5,0.0,0.0
P2BU,"CD16-negative, CD56-bright natural killer cell, human",63,0.8888888888888888,0.8484848484848485
P2BU,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9746192893401016,0.9469790382244143
P2BU,CD1c-positive myeloid dendritic cell,131,0.9007633587786259,0.851985559566787
P2BU,"CD4-positive, alpha-beta T cell",361,0.19390581717451524,0.2755905511811024
P2BU,"CD4-positive, alpha-beta cytotoxic T cell",102,0.7745098039215687,0.7821782178217822
P2BU,"CD8-positive, alpha-beta T cell",579,0.7357512953367875,0.7325881341358556
P2BU,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8012170385395537,0.8053007135575942
P2BU,"CD8-positive, alpha-beta memory T cell",263,0.7186311787072244,0.7213740458015268
P2BU,T cell,564,0.8085106382978723,0.8194070080862533
P2BU,"central memory CD4-positive, alpha-beta T cell",1130,0.8761061946902655,0.8665207877461707
P2BU,double negative T regulatory cell,3,0.0,0.0
P2BU,"effector memory CD4-positive, alpha-beta T cell",233,0.8540772532188842,0.77431906614786
P2BU,gamma-delta T cell,320,0.809375,0.8662207357859532
P2BU,hematopoietic stem cell,2,0.0,0.0
P2BU,innate lymphoid cell,6,0.0,0.0
P2BU,mature B cell,51,0.5294117647058824,0.6506024096385542
P2BU,memory B cell,338,0.9822485207100592,0.8853333333333333
P2BU,mucosal invariant T cell,219,0.9908675799086758,0.9393939393939394
P2BU,myeloid cell,263,0.6311787072243346,0.7248908296943232
P2BU,naive B cell,335,0.991044776119403,0.9707602339181286
P2BU,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.9731147540983607,0.9359823399558499
P2BU,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9858989424206815,0.9682631275245239
P2BU,natural killer cell,235,0.5957446808510638,0.7216494845360825
P2BU,plasma cell,18,0.0,0.0
P2BU,plasmacytoid dendritic cell,30,0.9666666666666667,0.9354838709677419
P2BU,platelet,178,1.0,0.9971988795518207
P2BU,pre-conventional dendritic cell,7,0.0,0.0
P2BU,regulatory T cell,157,0.9235668789808917,0.8868501529051988
P2DS,B cell,107,0.0,0.0
P2DS,"CD14-low, CD16-positive monocyte",423,0.9787234042553191,0.9539170506912442
P2DS,CD14-positive monocyte,1932,0.9901656314699793,0.9649432534678436
P2DS,CD141-positive myeloid dendritic cell,5,0.0,0.0
P2DS,"CD16-negative, CD56-bright natural killer cell, human",63,0.7936507936507936,0.8403361344537815
P2DS,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9708121827411168,0.9398034398034398
P2DS,CD1c-positive myeloid dendritic cell,131,0.8473282442748091,0.7708333333333334
P2DS,"CD4-positive, alpha-beta T cell",361,0.01662049861495845,0.031578947368421054
P2DS,"CD4-positive, alpha-beta cytotoxic T cell",102,0.4019607843137255,0.5540540540540541
P2DS,"CD8-positive, alpha-beta T cell",579,0.7357512953367875,0.6533742331288344
P2DS,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8823529411764706,0.7967032967032966
P2DS,"CD8-positive, alpha-beta memory T cell",263,0.1444866920152091,0.23824451410658307
P2DS,T cell,564,0.7783687943262412,0.7614917606244579
P2DS,"central memory CD4-positive, alpha-beta T cell",1130,0.9283185840707965,0.8580777096114519
P2DS,double negative T regulatory cell,3,0.0,0.0
P2DS,"effector memory CD4-positive, alpha-beta T cell",233,0.7896995708154506,0.7173489278752436
P2DS,gamma-delta T cell,320,0.625,0.7299270072992701
P2DS,hematopoietic stem cell,2,0.0,0.0
P2DS,innate lymphoid cell,6,0.0,0.0
P2DS,mature B cell,51,0.45098039215686275,0.6216216216216216
P2DS,memory B cell,338,0.985207100591716,0.8868175765645806
P2DS,mucosal invariant T cell,219,0.9954337899543378,0.9045643153526971
P2DS,myeloid cell,263,0.5247148288973384,0.6682808716707022
P2DS,naive B cell,335,0.9970149253731343,0.9113233287858117
