arm,cell_type,n_cells,accuracy,f1
P,BEST4+ colonocyte,262,0.9770992366412213,0.9660377358490566
P,colon goblet cell,316,0.9746835443037974,0.9716088328075709
P,colonocyte,383,0.95822454308094,0.8594847775175644
P,early colonocyte,1285,0.864591439688716,0.8782608695652174
P,enteroendocrine cell of colon,33,0.8787878787878788,0.9206349206349206
P,intestinal crypt stem cell of colon,414,0.7077294685990339,0.7700394218134035
P,malignant cell,4696,0.9853066439522998,0.9896267778847182
P,secretory cell,1034,0.9777562862669246,0.9573863636363636
P,tuft cell of colon,149,1.0,0.9644012944983819
B,BEST4+ colonocyte,262,0.9770992366412213,0.9678638941398866
B,colon goblet cell,316,0.9841772151898734,0.971875
B,colonocyte,383,0.9608355091383812,0.882494004796163
B,early colonocyte,1285,0.8381322957198444,0.8835110746513536
B,enteroendocrine cell of colon,33,0.9393939393939394,0.9253731343283582
B,intestinal crypt stem cell of colon,414,0.8309178743961353,0.7917146144994246
B,malignant cell,4696,0.9867972742759795,0.9903825603761488
B,secretory cell,1034,0.9777562862669246,0.9614835948644793
B,tuft cell of colon,149,1.0,0.9738562091503268
P2BA,BEST4+ colonocyte,262,0.9618320610687023,0.972972972972973
P2BA,colon goblet cell,316,0.9683544303797469,0.9622641509433962
P2BA,colonocyte,383,0.8981723237597912,0.8981723237597912
P2BA,early colonocyte,1285,0.9463035019455253,0.8931325743665075
P2BA,enteroendocrine cell of colon,33,0.9393939393939394,0.9393939393939394
P2BA,intestinal crypt stem cell of colon,414,0.5797101449275363,0.6997084548104956
P2BA,malignant cell,4696,0.9872231686541738,0.9908100021372088
P2BA,secretory cell,1034,0.9729206963249516,0.9649880095923261
P2BA,tuft cell of colon,149,1.0,0.9738562091503268
P2BU,BEST4+ colonocyte,262,0.9847328244274809,0.9662921348314607
P2BU,colon goblet cell,316,0.9715189873417721,0.9761526232114467
P2BU,colonocyte,383,0.8877284595300261,0.8923884514435696
P2BU,early colonocyte,1285,0.9027237354085603,0.9013209013209014
P2BU,enteroendocrine cell of colon,33,0.9393939393939394,0.9393939393939394
P2BU,intestinal crypt stem cell of colon,414,0.748792270531401,0.7969151670951157
P2BU,malignant cell,4696,0.9863713798977853,0.9899551186150887
P2BU,secretory cell,1034,0.988394584139265,0.9551401869158879
P2BU,tuft cell of colon,149,0.9932885906040269,0.976897689768977
P2DS,BEST4+ colonocyte,262,0.9809160305343512,0.9643527204502814
P2DS,colon goblet cell,316,0.9715189873417721,0.9730586370839936
P2DS,colonocyte,383,0.8433420365535248,0.8729729729729729
P2DS,early colonocyte,1285,0.9042801556420234,0.8952234206471494
P2DS,enteroendocrine cell of colon,33,0.9696969696969697,0.927536231884058
P2DS,intestinal crypt stem cell of colon,414,0.7294685990338164,0.7704081632653061
P2DS,malignant cell,4696,0.9874361158432708,0.9900715277036405
P2DS,secretory cell,1034,0.9816247582205029,0.9598108747044918
P2DS,tuft cell of colon,149,1.0,0.9644012944983819
P2BJ,BEST4+ colonocyte,262,0.9847328244274809,0.9573283858998145
P2BJ,colon goblet cell,316,0.9620253164556962,0.9743589743589743
P2BJ,colonocyte,383,0.9660574412532638,0.8799048751486326
P2BJ,early colonocyte,1285,0.8280155642023346,0.8818897637795275
P2BJ,enteroendocrine cell of colon,33,1.0,0.7586206896551724
P2BJ,intestinal crypt stem cell of colon,414,0.8091787439613527,0.777262180974478
P2BJ,malignant cell,4696,0.9823253833049403,0.9879002034479066
P2BJ,secretory cell,1034,0.9825918762088974,0.9571361281205841
P2BJ,tuft cell of colon,149,1.0,0.9430379746835443
