arm,cell_type,n_cells,accuracy,f1
P,B cell,25,0.24,0.3870967741935484
P,"CD8-positive, alpha-beta cytotoxic T cell",293,0.9419795221843004,0.8251121076233184
P,adventitial fibroblast,307,0.9804560260586319,0.8826979472140762
P,alveolar macrophage,176,0.48863636363636365,0.5548387096774193
P,alveolar type 1 fibroblast cell,74,0.5135135135135135,0.6333333333333333
P,basal cell,366,0.8688524590163934,0.8736263736263736
P,ciliated cell,2304,0.9848090277777778,0.9852366478506296
P,classical monocyte,680,0.7308823529411764,0.7292736610418196
P,conventional dendritic cell,163,0.8098159509202454,0.704
P,endothelial cell of arteriole,200,0.86,0.7334754797441365
P,endothelial cell of respiratory system lymphatic vessel,117,0.9829059829059829,0.9829059829059829
P,epithelial cell of lung,86,0.0,0.0
P,granzyme K-associated CD8 T cell,8,0.0,0.0
P,helper T cell,91,0.42857142857142855,0.5492957746478874
P,hematopoietic cell,107,0.0,0.0
P,lung interstitial macrophage,140,0.7785714285714286,0.6987179487179487
P,lung secretory cell,1724,0.9611368909512761,0.9425483503981797
P,macrophage,1992,0.9186746987951807,0.8887809616318602
P,mast cell,26,0.9615384615384616,0.9615384615384616
P,mesothelial cell of pleura,33,1.0,0.9166666666666666
P,monocyte,384,0.8255208333333334,0.8342105263157895
P,"myeloid dendritic cell, human",249,0.41365461847389556,0.4975845410628019
P,myofibroblast cell,53,0.20754716981132076,0.3333333333333333
P,natural killer cell,163,0.950920245398773,0.9198813056379822
P,pericyte,56,0.9107142857142857,0.9026548672566371
P,plasma cell,26,0.0,0.0
P,plasmacytoid dendritic cell,14,0.7857142857142857,0.88
P,pulmonary alveolar type 1 cell,196,0.9744897959183674,0.9597989949748744
P,pulmonary alveolar type 2 cell,1521,0.9684418145956607,0.9624305782424044
P,pulmonary capillary endothelial cell,206,0.912621359223301,0.8909952606635071
P,smooth muscle cell,55,0.8,0.8627450980392157
P,vein endothelial cell of respiratory system,663,0.8552036199095022,0.9021479713603818
B,B cell,25,0.84,0.9130434782608695
B,"CD8-positive, alpha-beta cytotoxic T cell",293,0.9146757679180887,0.8948247078464107
B,adventitial fibroblast,307,0.9446254071661238,0.9508196721311475
B,alveolar macrophage,176,0.5681818181818182,0.60790273556231
B,alveolar type 1 fibroblast cell,74,0.8648648648648649,0.7804878048780488
B,basal cell,366,0.8907103825136612,0.8956043956043956
B,ciliated cell,2304,0.9813368055555556,0.986905281536447
B,classical monocyte,680,0.7044117647058824,0.7455252918287938
B,conventional dendritic cell,163,0.8098159509202454,0.7787610619469026
B,endothelial cell of arteriole,200,0.865,0.726890756302521
B,endothelial cell of respiratory system lymphatic vessel,117,1.0,0.9873417721518988
B,epithelial cell of lung,86,0.6627906976744186,0.7215189873417721
B,granzyme K-associated CD8 T cell,8,0.0,0.0
B,helper T cell,91,0.7912087912087912,0.8044692737430168
B,hematopoietic cell,107,0.8785046728971962,0.8355555555555556
B,lung interstitial macrophage,140,0.8785714285714286,0.7454545454545455
B,lung secretory cell,1724,0.9634570765661253,0.9532281205164993
B,macrophage,1992,0.8980923694779116,0.8945
B,mast cell,26,0.9615384615384616,0.9615384615384616
B,mesothelial cell of pleura,33,1.0,0.9166666666666666
B,monocyte,384,0.8567708333333334,0.8703703703703703
B,"myeloid dendritic cell, human",249,0.7028112449799196,0.674373795761079
B,myofibroblast cell,53,0.39622641509433965,0.5185185185185185
B,natural killer cell,163,0.9386503067484663,0.9161676646706587
B,pericyte,56,0.9107142857142857,0.9357798165137615
B,plasma cell,26,0.4230769230769231,0.5945945945945946
B,plasmacytoid dendritic cell,14,1.0,1.0
B,pulmonary alveolar type 1 cell,196,0.9693877551020408,0.95
B,pulmonary alveolar type 2 cell,1521,0.9644970414201184,0.9648142058533378
B,pulmonary capillary endothelial cell,206,0.912621359223301,0.8867924528301887
B,smooth muscle cell,55,0.9818181818181818,0.9152542372881356
B,vein endothelial cell of respiratory system,663,0.8476621417797888,0.9028112449799197
P2BA,B cell,25,0.96,0.96
P2BA,"CD8-positive, alpha-beta cytotoxic T cell",293,0.9283276450511946,0.9036544850498339
P2BA,adventitial fibroblast,307,0.9381107491856677,0.9442622950819672
P2BA,alveolar macrophage,176,0.5738636363636364,0.5958702064896755
P2BA,alveolar type 1 fibroblast cell,74,0.8513513513513513,0.782608695652174
P2BA,basal cell,366,0.8825136612021858,0.8922651933701657
P2BA,ciliated cell,2304,0.9826388888888888,0.987783595113438
P2BA,classical monocyte,680,0.7455882352941177,0.774637127578304
P2BA,conventional dendritic cell,163,0.8404907975460123,0.7942028985507247
P2BA,endothelial cell of arteriole,200,0.88,0.7302904564315352
P2BA,endothelial cell of respiratory system lymphatic vessel,117,0.9914529914529915,0.9872340425531915
P2BA,epithelial cell of lung,86,0.7325581395348837,0.782608695652174
P2BA,granzyme K-associated CD8 T cell,8,0.0,0.0
