arm,cell_type,n_cells,accuracy,f1
P,B cell,107,0.27102803738317754,0.3918918918918919
P,"CD14-low, CD16-positive monocyte",423,0.9030732860520094,0.9238210399032648
P,CD14-positive monocyte,1932,0.9798136645962733,0.9467366841710427
P,CD141-positive myeloid dendritic cell,5,1.0,1.0
P,"CD16-negative, CD56-bright natural killer cell, human",63,0.5873015873015873,0.6607142857142857
P,"CD16-positive, CD56-dim natural killer cell, human",1576,0.950507614213198,0.9204301075268817
P,CD1c-positive myeloid dendritic cell,131,0.6564885496183206,0.7713004484304933
P,"CD4-positive, alpha-beta T cell",361,0.16620498614958448,0.20618556701030927
P,"CD4-positive, alpha-beta cytotoxic T cell",102,0.5588235294117647,0.4253731343283582
P,"CD8-positive, alpha-beta T cell",579,0.40414507772020725,0.4361602982292637
P,"CD8-positive, alpha-beta cytotoxic T cell",493,0.5720081135902637,0.6259711431742508
P,"CD8-positive, alpha-beta memory T cell",263,0.752851711026616,0.6064318529862175
P,T cell,564,0.4237588652482269,0.5015739769150053
P,"central memory CD4-positive, alpha-beta T cell",1130,0.7575221238938054,0.724809483488569
P,double negative T regulatory cell,3,0.0,0.0
P,"effector memory CD4-positive, alpha-beta T cell",233,0.38626609442060084,0.4675324675324675
P,gamma-delta T cell,320,0.85625,0.7718309859154929
P,hematopoietic stem cell,2,0.0,0.0
P,innate lymphoid cell,6,0.3333333333333333,0.5
P,mature B cell,51,0.3137254901960784,0.38095238095238093
P,memory B cell,338,0.8757396449704142,0.8542568542568543
P,mucosal invariant T cell,219,0.8127853881278538,0.8317757009345794
P,myeloid cell,263,0.46387832699619774,0.5374449339207048
P,naive B cell,335,0.9731343283582089,0.8763440860215054
P,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.8918032786885246,0.8242424242424242
P,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.8965922444183314,0.8675383740761796
P,natural killer cell,235,0.37446808510638296,0.4631578947368421
P,plasma cell,18,0.5555555555555556,0.7142857142857143
P,plasmacytoid dendritic cell,30,1.0,0.967741935483871
P,platelet,178,1.0,0.9753424657534246
P,pre-conventional dendritic cell,7,0.0,0.0
P,regulatory T cell,157,0.2484076433121019,0.35135135135135137
B,B cell,107,0.4766355140186916,0.5795454545454546
B,"CD14-low, CD16-positive monocyte",423,0.9621749408983451,0.9292237442922374
B,CD14-positive monocyte,1932,0.8907867494824017,0.9205669965231346
B,CD141-positive myeloid dendritic cell,5,0.4,0.5714285714285714
B,"CD16-negative, CD56-bright natural killer cell, human",63,0.8095238095238095,0.6986301369863014
B,"CD16-positive, CD56-dim natural killer cell, human",1576,0.7398477157360406,0.8313725490196079
B,CD1c-positive myeloid dendritic cell,131,0.8015267175572519,0.8203125
B,"CD4-positive, alpha-beta T cell",361,0.28254847645429365,0.21841541755888652
B,"CD4-positive, alpha-beta cytotoxic T cell",102,0.30392156862745096,0.3147208121827411
B,"CD8-positive, alpha-beta T cell",579,0.38687392055267705,0.4132841328413284
B,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8052738336713996,0.6140757927300851
B,"CD8-positive, alpha-beta memory T cell",263,0.6425855513307985,0.5487012987012987
B,T cell,564,0.6578014184397163,0.5703305149884704
B,"central memory CD4-positive, alpha-beta T cell",1130,0.6398230088495576,0.6779184247538678
B,double negative T regulatory cell,3,0.0,0.0
B,"effector memory CD4-positive, alpha-beta T cell",233,0.351931330472103,0.4304461942257218
B,gamma-delta T cell,320,0.634375,0.6893039049235993
B,hematopoietic stem cell,2,0.5,0.5
B,innate lymphoid cell,6,0.5,0.5454545454545454
B,mature B cell,51,0.29411764705882354,0.4166666666666667
B,memory B cell,338,0.8461538461538461,0.8461538461538461
B,mucosal invariant T cell,219,0.8721461187214612,0.8488888888888889
B,myeloid cell,263,0.6425855513307985,0.5356576862123613
B,naive B cell,335,0.9611940298507463,0.8621151271753681
B,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.7370491803278688,0.7840948726892222
B,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.827262044653349,0.8734491315136477
B,natural killer cell,235,0.49361702127659574,0.4
B,plasma cell,18,0.3888888888888889,0.56
B,plasmacytoid dendritic cell,30,1.0,0.967741935483871
B,platelet,178,1.0,0.9971988795518207
B,pre-conventional dendritic cell,7,0.0,0.0
B,regulatory T cell,157,0.5732484076433121,0.5142857142857142
P2BA,B cell,107,0.34579439252336447,0.48366013071895425
P2BA,"CD14-low, CD16-positive monocyte",423,0.9574468085106383,0.9342560553633218
