arm,cell_type,n_cells,accuracy,f1
P,BEST4+ colonocyte,262,0.9885496183206107,0.9487179487179487
P,colon goblet cell,316,0.9683544303797469,0.9039881831610044
P,colonocyte,383,0.7702349869451697,0.8137931034482758
P,early colonocyte,1285,0.6669260700389105,0.7436008676789588
P,enteroendocrine cell of colon,33,0.8787878787878788,0.7837837837837838
P,intestinal crypt stem cell of colon,414,0.8454106280193237,0.5902192242833052
P,malignant cell,4696,0.9593270868824532,0.9760589318600368
P,secretory cell,1034,0.9458413926499033,0.9323164918970448
P,tuft cell of colon,149,0.9932885906040269,0.9801324503311258
B,BEST4+ colonocyte,262,0.9770992366412213,0.9292196007259528
B,colon goblet cell,316,0.9367088607594937,0.9051987767584098
B,colonocyte,383,0.9817232375979112,0.704119850187266
B,early colonocyte,1285,0.7603112840466926,0.7026249550521395
B,enteroendocrine cell of colon,33,0.9090909090909091,0.8695652173913043
B,intestinal crypt stem cell of colon,414,0.5410628019323671,0.5902503293807642
B,malignant cell,4696,0.9101362862010222,0.9508342602892103
B,secretory cell,1034,0.8955512572533849,0.9334677419354839
B,tuft cell of colon,149,0.9261744966442953,0.9583333333333334
P2BA,BEST4+ colonocyte,262,0.9618320610687023,0.9636711281070746
P2BA,colon goblet cell,316,0.8259493670886076,0.8984509466437177
P2BA,colonocyte,383,0.8903394255874674,0.8643852978453739
P2BA,early colonocyte,1285,0.8708171206225681,0.8644264194669756
P2BA,enteroendocrine cell of colon,33,0.9090909090909091,0.9090909090909091
P2BA,intestinal crypt stem cell of colon,414,0.5966183574879227,0.6675675675675675
P2BA,malignant cell,4696,0.9870102214650767,0.9833457091333404
P2BA,secretory cell,1034,0.97678916827853,0.9448082319925164
P2BA,tuft cell of colon,149,0.9463087248322147,0.9690721649484536
P2BJ,BEST4+ colonocyte,262,0.9770992366412213,0.9159212880143113
P2BJ,colon goblet cell,316,0.9367088607594937,0.9352290679304898
P2BJ,colonocyte,383,0.8825065274151436,0.8535353535353535
P2BJ,early colonocyte,1285,0.7673151750972763,0.8003246753246753
P2BJ,enteroendocrine cell of colon,33,0.8484848484848485,0.8484848484848485
P2BJ,intestinal crypt stem cell of colon,414,0.7995169082125604,0.6192703461178671
P2BJ,malignant cell,4696,0.9284497444633731,0.9600352306506661
P2BJ,secretory cell,1034,0.9729206963249516,0.9246323529411765
P2BJ,tuft cell of colon,149,0.9798657718120806,0.9668874172185431
P2BU,BEST4+ colonocyte,262,0.950381679389313,0.9521988527724665
P2BU,colon goblet cell,316,0.8607594936708861,0.9006622516556292
P2BU,colonocyte,383,0.8877284595300261,0.8323133414932681
P2BU,early colonocyte,1285,0.6910505836575875,0.7827236668135743
P2BU,enteroendocrine cell of colon,33,0.8787878787878788,0.8405797101449275
P2BU,intestinal crypt stem cell of colon,414,0.6859903381642513,0.6360582306830908
P2BU,malignant cell,4696,0.9848807495741057,0.980807973703743
P2BU,secretory cell,1034,0.9806576402321083,0.9053571428571429
P2BU,tuft cell of colon,149,0.9664429530201343,0.9664429530201343
P2DS,BEST4+ colonocyte,262,0.9847328244274809,0.943327239488117
P2DS,colon goblet cell,316,0.9683544303797469,0.9315068493150684
P2DS,colonocyte,383,0.6919060052219321,0.8006042296072508
P2DS,early colonocyte,1285,0.8108949416342413,0.8332666933226709
P2DS,enteroendocrine cell of colon,33,0.9696969696969697,0.8888888888888888
P2DS,intestinal crypt stem cell of colon,414,0.7391304347826086,0.6609071274298056
P2DS,malignant cell,4696,0.9902044293015332,0.9827750184930784
P2DS,secretory cell,1034,0.913926499032882,0.9393638170974155
P2DS,tuft cell of colon,149,0.9932885906040269,0.9736842105263158
