arm,cell_type,n_cells,accuracy,f1
P,B cell,25,0.64,0.7619047619047619
P,"CD8-positive, alpha-beta cytotoxic T cell",293,0.8020477815699659,0.7424960505529226
P,adventitial fibroblast,307,0.990228013029316,0.9353846153846154
P,alveolar macrophage,176,0.3181818181818182,0.4375
P,alveolar type 1 fibroblast cell,74,0.6351351351351351,0.6351351351351351
P,basal cell,366,0.9508196721311475,0.7972508591065293
P,ciliated cell,2304,0.9496527777777778,0.9735261401557286
P,classical monocyte,680,0.2926470588235294,0.44271412680756395
P,conventional dendritic cell,163,0.9079754601226994,0.7219512195121951
P,endothelial cell of arteriole,200,0.855,0.684
P,endothelial cell of respiratory system lymphatic vessel,117,0.9658119658119658,0.9300411522633745
P,epithelial cell of lung,86,0.8255813953488372,0.8068181818181818
P,granzyme K-associated CD8 T cell,8,0.0,0.0
P,helper T cell,91,0.8571428571428571,0.6446280991735537
P,hematopoietic cell,107,0.9065420560747663,0.8117154811715481
P,lung interstitial macrophage,140,0.9714285714285714,0.3309002433090024
P,lung secretory cell,1724,0.8764501160092807,0.9002085195114685
P,macrophage,1992,0.6726907630522089,0.7538677918424754
P,mast cell,26,0.9615384615384616,0.8771929824561403
P,mesothelial cell of pleura,33,0.9696969696969697,0.9846153846153847
P,monocyte,384,0.9270833333333334,0.7928730512249443
P,"myeloid dendritic cell, human",249,0.6345381526104418,0.4759036144578313
P,myofibroblast cell,53,0.22641509433962265,0.3582089552238806
P,natural killer cell,163,0.6319018404907976,0.7601476014760148
P,pericyte,56,0.44642857142857145,0.6172839506172839
P,plasma cell,26,0.5384615384615384,0.6829268292682927
P,plasmacytoid dendritic cell,14,1.0,0.9032258064516129
P,pulmonary alveolar type 1 cell,196,0.9795918367346939,0.9297820823244553
P,pulmonary alveolar type 2 cell,1521,0.9658119658119658,0.9514248704663213
P,pulmonary capillary endothelial cell,206,0.883495145631068,0.8625592417061612
P,smooth muscle cell,55,0.9636363636363636,0.75177304964539
P,vein endothelial cell of respiratory system,663,0.799396681749623,0.8767576509511993
B,B cell,25,0.88,0.9361702127659575
B,"CD8-positive, alpha-beta cytotoxic T cell",293,0.9078498293515358,0.8273716951788491
B,adventitial fibroblast,307,0.7166123778501629,0.8255159474671669
B,alveolar macrophage,176,0.6022727272727273,0.5808219178082191
B,alveolar type 1 fibroblast cell,74,0.527027027027027,0.5735294117647058
B,basal cell,366,0.8770491803278688,0.8503311258278146
B,ciliated cell,2304,0.9934895833333334,0.9866379310344827
B,classical monocyte,680,0.3588235294117647,0.48316831683168315
B,conventional dendritic cell,163,0.7361963190184049,0.6976744186046512
B,endothelial cell of arteriole,200,0.73,0.6985645933014354
B,endothelial cell of respiratory system lymphatic vessel,117,0.905982905982906,0.9464285714285714
B,epithelial cell of lung,86,0.8604651162790697,0.6040816326530613
B,granzyme K-associated CD8 T cell,8,0.0,0.0
B,helper T cell,91,0.7582417582417582,0.7379679144385026
B,hematopoietic cell,107,0.6822429906542056,0.6666666666666666
B,lung interstitial macrophage,140,0.65,0.6190476190476191
B,lung secretory cell,1724,0.9054524361948956,0.9308288610614192
B,macrophage,1992,0.8890562248995983,0.8336079077429983
B,mast cell,26,1.0,0.9454545454545454
B,mesothelial cell of pleura,33,1.0,0.9428571428571428
B,monocyte,384,0.7526041666666666,0.7737617135207496
B,"myeloid dendritic cell, human",249,0.5421686746987951,0.5094339622641509
B,myofibroblast cell,53,0.7169811320754716,0.38578680203045684
B,natural killer cell,163,0.7361963190184049,0.8362369337979094
B,pericyte,56,0.5357142857142857,0.6976744186046512
B,plasma cell,26,0.5,0.65
B,plasmacytoid dendritic cell,14,0.9285714285714286,0.9629629629629629
B,pulmonary alveolar type 1 cell,196,0.9897959183673469,0.9150943396226415
B,pulmonary alveolar type 2 cell,1521,0.9434582511505588,0.9579439252336449
B,pulmonary capillary endothelial cell,206,0.8349514563106796,0.8171021377672208
B,smooth muscle cell,55,0.9636363636363636,0.8091603053435115
B,vein endothelial cell of respiratory system,663,0.8717948717948718,0.8871834228702993
P2BA,B cell,25,0.96,0.96
P2BA,"CD8-positive, alpha-beta cytotoxic T cell",293,0.7815699658703071,0.8120567375886525
P2BA,adventitial fibroblast,307,0.9218241042345277,0.933993399339934
P2BA,alveolar macrophage,176,0.6079545454545454,0.5515463917525774
P2BA,alveolar type 1 fibroblast cell,74,0.8243243243243243,0.7218934911242604
P2BA,basal cell,366,0.7349726775956285,0.8328173374613003
P2BA,ciliated cell,2304,0.9848090277777778,0.9886710239651416
P2BA,classical monocyte,680,0.5544117647058824,0.6226259289843105
P2BA,conventional dendritic cell,163,0.49693251533742333,0.6113207547169811
P2BA,endothelial cell of arteriole,200,0.805,0.6807610993657506
P2BA,endothelial cell of respiratory system lymphatic vessel,117,0.8974358974358975,0.9417040358744395
P2BA,epithelial cell of lung,86,0.8488372093023255,0.7448979591836735
P2BA,granzyme K-associated CD8 T cell,8,0.25,0.0625
P2BA,helper T cell,91,0.6923076923076923,0.7368421052631579
P2BA,hematopoietic cell,107,0.8878504672897196,0.7692307692307693
P2BA,lung interstitial macrophage,140,0.5928571428571429,0.6217228464419475
P2BA,lung secretory cell,1724,0.9477958236658933,0.9385410683515221
P2BA,macrophage,1992,0.8855421686746988,0.8480769230769231
P2BA,mast cell,26,0.9615384615384616,0.9803921568627451
P2BA,mesothelial cell of pleura,33,0.9393939393939394,0.96875
P2BA,monocyte,384,0.7838541666666666,0.8058902275769746
P2BA,"myeloid dendritic cell, human",249,0.5542168674698795,0.5433070866141733
P2BA,myofibroblast cell,53,0.4716981132075472,0.5494505494505495
P2BA,natural killer cell,163,0.9263803680981595,0.8365650969529086
P2BA,pericyte,56,0.875,0.8990825688073395
P2BA,plasma cell,26,0.5384615384615384,0.6666666666666666
P2BA,plasmacytoid dendritic cell,14,0.8571428571428571,0.9230769230769231
P2BA,pulmonary alveolar type 1 cell,196,0.9591836734693877,0.9376558603491272
P2BA,pulmonary alveolar type 2 cell,1521,0.967784352399737,0.9549140447615958
P2BA,pulmonary capillary endothelial cell,206,0.7330097087378641,0.7684478371501272
P2BA,smooth muscle cell,55,0.9818181818181818,0.9152542372881356
P2BA,vein endothelial cell of respiratory system,663,0.8054298642533937,0.8682926829268293
P2BJ,B cell,25,0.84,0.9130434782608695
P2BJ,"CD8-positive, alpha-beta cytotoxic T cell",293,0.8703071672354948,0.8239095315024233
P2BJ,adventitial fibroblast,307,0.8501628664495114,0.9109947643979057
P2BJ,alveolar macrophage,176,0.7556818181818182,0.5720430107526882
P2BJ,alveolar type 1 fibroblast cell,74,0.8918918918918919,0.7135135135135136
P2BJ,basal cell,366,0.8032786885245902,0.8436154949784792
P2BJ,ciliated cell,2304,0.9743923611111112,0.9835706462212487
P2BJ,classical monocyte,680,0.4117647058823529,0.532825880114177
P2BJ,conventional dendritic cell,163,0.9141104294478528,0.7078384798099763
P2BJ,endothelial cell of arteriole,200,0.8,0.6751054852320675
P2BJ,endothelial cell of respiratory system lymphatic vessel,117,0.9572649572649573,0.9491525423728814
P2BJ,epithelial cell of lung,86,0.8837209302325582,0.7676767676767676
P2BJ,granzyme K-associated CD8 T cell,8,0.25,0.04597701149425287
P2BJ,helper T cell,91,0.7252747252747253,0.7457627118644068
P2BJ,hematopoietic cell,107,0.7663551401869159,0.7961165048543689
P2BJ,lung interstitial macrophage,140,0.8,0.5714285714285714
P2BJ,lung secretory cell,1724,0.839907192575406,0.8899815611555009
P2BJ,macrophage,1992,0.7871485943775101,0.8139112379963664
P2BJ,mast cell,26,1.0,0.9454545454545454
P2BJ,mesothelial cell of pleura,33,1.0,0.8918918918918919
P2BJ,monocyte,384,0.84375,0.801980198019802
P2BJ,"myeloid dendritic cell, human",249,0.6024096385542169,0.5145797598627787
P2BJ,myofibroblast cell,53,0.5094339622641509,0.5242718446601942
P2BJ,natural killer cell,163,0.7975460122699386,0.8253968253968254
P2BJ,pericyte,56,0.5535714285714286,0.7045454545454546
P2BJ,plasma cell,26,0.5384615384615384,0.6829268292682927
P2BJ,plasmacytoid dendritic cell,14,1.0,0.9655172413793104
P2BJ,pulmonary alveolar type 1 cell,196,0.9693877551020408,0.7835051546391752
P2BJ,pulmonary alveolar type 2 cell,1521,0.9671268902038133,0.9216791979949874
P2BJ,pulmonary capillary endothelial cell,206,0.7864077669902912,0.801980198019802
P2BJ,smooth muscle cell,55,1.0,0.7857142857142857
P2BJ,vein endothelial cell of respiratory system,663,0.7526395173453997,0.8457627118644068
P2BU,B cell,25,0.8,0.6896551724137931
P2BU,"CD8-positive, alpha-beta cytotoxic T cell",293,0.8703071672354948,0.831973898858075
P2BU,adventitial fibroblast,307,0.8957654723127035,0.9228187919463087
P2BU,alveolar macrophage,176,0.5568181818181818,0.5240641711229946
P2BU,alveolar type 1 fibroblast cell,74,0.8513513513513513,0.6461538461538462
P2BU,basal cell,366,0.8333333333333334,0.8555399719495091
P2BU,ciliated cell,2304,0.9848090277777778,0.9858787747121442
P2BU,classical monocyte,680,0.3764705882352941,0.4807511737089202
P2BU,conventional dendritic cell,163,0.8773006134969326,0.7506561679790026
P2BU,endothelial cell of arteriole,200,0.795,0.6868250539956804
P2BU,endothelial cell of respiratory system lymphatic vessel,117,0.9487179487179487,0.921161825726141
P2BU,epithelial cell of lung,86,0.7325581395348837,0.6885245901639344
P2BU,granzyme K-associated CD8 T cell,8,0.25,0.19047619047619047
P2BU,helper T cell,91,0.5384615384615384,0.6666666666666666
P2BU,hematopoietic cell,107,0.897196261682243,0.6784452296819788
P2BU,lung interstitial macrophage,140,0.6,0.5384615384615384
P2BU,lung secretory cell,1724,0.9269141531322506,0.9296102385107621
P2BU,macrophage,1992,0.8187751004016064,0.8247787610619469
P2BU,mast cell,26,0.9615384615384616,0.9803921568627451
P2BU,mesothelial cell of pleura,33,0.9696969696969697,0.8888888888888888
P2BU,monocyte,384,0.484375,0.6220735785953178
P2BU,"myeloid dendritic cell, human",249,0.6867469879518072,0.4253731343283582
P2BU,myofibroblast cell,53,0.1509433962264151,0.25
P2BU,natural killer cell,163,0.8588957055214724,0.835820895522388
P2BU,pericyte,56,0.3392857142857143,0.5066666666666667
P2BU,plasma cell,26,0.5384615384615384,0.6666666666666666
P2BU,plasmacytoid dendritic cell,14,0.8571428571428571,0.9230769230769231
P2BU,pulmonary alveolar type 1 cell,196,0.9642857142857143,0.945
P2BU,pulmonary alveolar type 2 cell,1521,0.9552925706771861,0.9481239804241436
P2BU,pulmonary capillary endothelial cell,206,0.8155339805825242,0.8337468982630273
P2BU,smooth muscle cell,55,1.0,0.7333333333333333
P2BU,vein endothelial cell of respiratory system,663,0.8416289592760181,0.878740157480315
P2DS,B cell,25,0.52,0.6842105263157895
P2DS,"CD8-positive, alpha-beta cytotoxic T cell",293,0.9795221843003413,0.7238335435056746
P2DS,adventitial fibroblast,307,0.36807817589576547,0.5380952380952381
P2DS,alveolar macrophage,176,0.9431818181818182,0.4474393530997305
P2DS,alveolar type 1 fibroblast cell,74,0.8243243243243243,0.3485714285714286
P2DS,basal cell,366,0.8060109289617486,0.8613138686131386
P2DS,ciliated cell,2304,0.9986979166666666,0.9839640795381654
P2DS,classical monocyte,680,0.4485294117647059,0.4750778816199377
P2DS,conventional dendritic cell,163,0.7423312883435583,0.7515527950310559
P2DS,endothelial cell of arteriole,200,0.905,0.5246376811594203
P2DS,endothelial cell of respiratory system lymphatic vessel,117,0.9487179487179487,0.9736842105263158
P2DS,epithelial cell of lung,86,0.8953488372093024,0.8191489361702128
P2DS,granzyme K-associated CD8 T cell,8,0.0,0.0
P2DS,helper T cell,91,0.1978021978021978,0.3185840707964602
P2DS,hematopoietic cell,107,0.9345794392523364,0.7220216606498195
P2DS,lung interstitial macrophage,140,0.7714285714285715,0.4864864864864865
P2DS,lung secretory cell,1724,0.9286542923433875,0.9337999416739574
P2DS,macrophage,1992,0.6807228915662651,0.6906035141329259
P2DS,mast cell,26,0.9615384615384616,0.9615384615384616
P2DS,mesothelial cell of pleura,33,0.9696969696969697,0.9014084507042254
P2DS,monocyte,384,0.0,0.0
P2DS,"myeloid dendritic cell, human",249,0.27710843373493976,0.3976945244956772
P2DS,myofibroblast cell,53,0.3584905660377358,0.4470588235294118
P2DS,natural killer cell,163,0.6196319018404908,0.7509293680297398
P2DS,pericyte,56,0.32142857142857145,0.4864864864864865
P2DS,plasma cell,26,0.46153846153846156,0.631578947368421
P2DS,plasmacytoid dendritic cell,14,1.0,0.9655172413793104
P2DS,pulmonary alveolar type 1 cell,196,0.9846938775510204,0.9554455445544554
P2DS,pulmonary alveolar type 2 cell,1521,0.9526627218934911,0.9599205034779729
P2DS,pulmonary capillary endothelial cell,206,0.1553398058252427,0.26666666666666666
P2DS,smooth muscle cell,55,0.9818181818181818,0.7152317880794702
P2DS,vein endothelial cell of respiratory system,663,0.803921568627451,0.8752052545155994
