cohort,arm,cell_type,n,probe_recall
aida,pretrained,B cell,22,0.6363636363636364
aida,pretrained,"CD14-low, CD16-positive monocyte",93,0.9032258064516129
aida,pretrained,CD14-positive monocyte,423,0.9527186761229315
aida,pretrained,CD141-positive myeloid dendritic cell,1,1.0
aida,pretrained,"CD16-negative, CD56-bright natural killer cell, human",13,1.0
aida,pretrained,"CD16-positive, CD56-dim natural killer cell, human",338,0.9763313609467456
aida,pretrained,CD1c-positive myeloid dendritic cell,28,0.8214285714285714
aida,pretrained,"CD4-positive, alpha-beta T cell",80,0.25
aida,pretrained,"CD4-positive, alpha-beta cytotoxic T cell",22,0.8181818181818182
aida,pretrained,"CD8-positive, alpha-beta T cell",124,0.6612903225806451
aida,pretrained,"CD8-positive, alpha-beta cytotoxic T cell",110,0.8
aida,pretrained,"CD8-positive, alpha-beta memory T cell",58,0.7586206896551724
aida,pretrained,T cell,120,0.7416666666666667
aida,pretrained,"central memory CD4-positive, alpha-beta T cell",246,0.926829268292683
aida,pretrained,"effector memory CD4-positive, alpha-beta T cell",53,0.8301886792452831
aida,pretrained,gamma-delta T cell,71,0.8591549295774648
aida,pretrained,innate lymphoid cell,1,1.0
aida,pretrained,mature B cell,11,0.8181818181818182
aida,pretrained,memory B cell,69,0.9710144927536232
aida,pretrained,mucosal invariant T cell,52,0.9615384615384616
aida,pretrained,myeloid cell,56,0.5892857142857143
aida,pretrained,naive B cell,66,0.9848484848484849
aida,pretrained,"naive thymus-derived CD4-positive, alpha-beta T cell",322,0.9751552795031055
aida,pretrained,"naive thymus-derived CD8-positive, alpha-beta T cell",187,0.983957219251337
aida,pretrained,natural killer cell,52,0.6346153846153846
aida,pretrained,plasma cell,3,1.0
aida,pretrained,plasmacytoid dendritic cell,5,0.8
aida,pretrained,platelet,39,1.0
aida,pretrained,pre-conventional dendritic cell,2,0.0
aida,pretrained,regulatory T cell,33,0.8181818181818182
aida,P,B cell,22,0.7272727272727273
aida,P,"CD14-low, CD16-positive monocyte",93,0.9247311827956989
aida,P,CD14-positive monocyte,423,0.9479905437352246
aida,P,CD141-positive myeloid dendritic cell,1,1.0
aida,P,"CD16-negative, CD56-bright natural killer cell, human",13,1.0
aida,P,"CD16-positive, CD56-dim natural killer cell, human",338,0.9763313609467456
aida,P,CD1c-positive myeloid dendritic cell,28,0.8214285714285714
aida,P,"CD4-positive, alpha-beta T cell",80,0.3375
aida,P,"CD4-positive, alpha-beta cytotoxic T cell",22,0.8181818181818182
aida,P,"CD8-positive, alpha-beta T cell",124,0.717741935483871
aida,P,"CD8-positive, alpha-beta cytotoxic T cell",110,0.7909090909090909
aida,P,"CD8-positive, alpha-beta memory T cell",58,0.7931034482758621
aida,P,T cell,120,0.8333333333333334
aida,P,"central memory CD4-positive, alpha-beta T cell",246,0.9105691056910569
aida,P,"effector memory CD4-positive, alpha-beta T cell",53,0.8301886792452831
aida,P,gamma-delta T cell,71,0.9154929577464789
aida,P,innate lymphoid cell,1,1.0
aida,P,mature B cell,11,0.9090909090909091
aida,P,memory B cell,69,0.9565217391304348
aida,P,mucosal invariant T cell,52,0.9423076923076923
aida,P,myeloid cell,56,0.7142857142857143
aida,P,naive B cell,66,1.0
aida,P,"naive thymus-derived CD4-positive, alpha-beta T cell",322,0.9503105590062112
aida,P,"naive thymus-derived CD8-positive, alpha-beta T cell",187,0.9786096256684492
aida,P,natural killer cell,52,0.7115384615384616
aida,P,plasma cell,3,1.0
aida,P,plasmacytoid dendritic cell,5,1.0
aida,P,platelet,39,1.0
aida,P,pre-conventional dendritic cell,2,0.0
aida,P,regulatory T cell,33,0.8484848484848485
