cohort,arm,cell_type,n,probe_recall
ild,pretrained,B cell,7,0.8571428571428571
ild,pretrained,"CD8-positive, alpha-beta cytotoxic T cell",67,0.9552238805970149
ild,pretrained,adventitial fibroblast,66,0.9545454545454546
ild,pretrained,alveolar macrophage,36,0.6111111111111112
ild,pretrained,alveolar type 1 fibroblast cell,15,0.7333333333333333
ild,pretrained,basal cell,79,0.8860759493670886
ild,pretrained,ciliated cell,490,0.9918367346938776
ild,pretrained,classical monocyte,150,0.8533333333333334
ild,pretrained,conventional dendritic cell,35,0.8571428571428571
ild,pretrained,endothelial cell of arteriole,44,0.8636363636363636
ild,pretrained,endothelial cell of respiratory system lymphatic vessel,26,1.0
ild,pretrained,epithelial cell of lung,21,0.8095238095238095
ild,pretrained,granzyme K-associated CD8 T cell,1,0.0
ild,pretrained,helper T cell,20,0.7
ild,pretrained,hematopoietic cell,23,0.782608695652174
ild,pretrained,lung interstitial macrophage,31,0.8709677419354839
ild,pretrained,lung secretory cell,371,0.9487870619946092
ild,pretrained,macrophage,433,0.9284064665127021
ild,pretrained,mast cell,6,1.0
ild,pretrained,mesothelial cell of pleura,7,1.0
ild,pretrained,monocyte,87,0.8620689655172413
ild,pretrained,"myeloid dendritic cell, human",56,0.6071428571428571
ild,pretrained,myofibroblast cell,10,0.4
ild,pretrained,natural killer cell,34,0.9705882352941176
ild,pretrained,pericyte,12,1.0
ild,pretrained,plasma cell,6,0.5
ild,pretrained,plasmacytoid dendritic cell,3,1.0
ild,pretrained,pulmonary alveolar type 1 cell,41,0.975609756097561
ild,pretrained,pulmonary alveolar type 2 cell,324,0.9506172839506173
ild,pretrained,pulmonary capillary endothelial cell,41,0.926829268292683
ild,pretrained,pulmonary neuroendocrine cell,1,0.0
ild,pretrained,smooth muscle cell,13,0.9230769230769231
ild,pretrained,vein endothelial cell of respiratory system,144,0.9583333333333334
ild,P,B cell,7,1.0
ild,P,"CD8-positive, alpha-beta cytotoxic T cell",67,0.8955223880597015
ild,P,adventitial fibroblast,66,0.9696969696969697
ild,P,alveolar macrophage,36,0.6388888888888888
ild,P,alveolar type 1 fibroblast cell,15,0.7333333333333333
ild,P,basal cell,79,0.8987341772151899
ild,P,ciliated cell,490,0.9897959183673469
ild,P,classical monocyte,150,0.8866666666666667
ild,P,conventional dendritic cell,35,0.8571428571428571
ild,P,endothelial cell of arteriole,44,0.8863636363636364
ild,P,endothelial cell of respiratory system lymphatic vessel,26,1.0
ild,P,epithelial cell of lung,21,0.8571428571428571
