## SLURM PROLOG ###############################################################
##    Job ID : 4844374
##  Job Name : bibm_ft
##  Nodelist : gpu3004
##      CPUs : 6
##  Mem/Node : 196608 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Tue Aug 11 11:55:25 PM EDT 2026
###############################################################################
re-equalizing groups to 47,790/group (pre: {'African': 48374, 'EastSEAsian': 51185, 'European': 47790, 'HispanicLatino': 49376, 'SouthAsian': 53275})
arm=matched train=238,950 val=47,801 labels=41 val_donors=211
{'loss': 0.5859, 'grad_norm': 1.554400086402893, 'learning_rate': 4.949779027721977e-05, 'epoch': 0.04}
{'loss': 0.1792, 'grad_norm': 1.782200574874878, 'learning_rate': 4.899558055443954e-05, 'epoch': 0.08}
{'loss': 0.1667, 'grad_norm': 1.6670845746994019, 'learning_rate': 4.84933708316593e-05, 'epoch': 0.12}
{'loss': 0.1564, 'grad_norm': 2.0393407344818115, 'learning_rate': 4.799116110887907e-05, 'epoch': 0.16}
{'loss': 0.1365, 'grad_norm': 1.1449024677276611, 'learning_rate': 4.748895138609883e-05, 'epoch': 0.2}
{'loss': 0.1358, 'grad_norm': 1.8237589597702026, 'learning_rate': 4.69867416633186e-05, 'epoch': 0.24}
{'loss': 0.1261, 'grad_norm': 1.0624449253082275, 'learning_rate': 4.6484531940538375e-05, 'epoch': 0.28}
{'loss': 0.1283, 'grad_norm': 1.8685415983200073, 'learning_rate': 4.598232221775814e-05, 'epoch': 0.32}
{'loss': 0.1426, 'grad_norm': 6.610743522644043, 'learning_rate': 4.5480112494977904e-05, 'epoch': 0.36}
{'loss': 0.192, 'grad_norm': 504.0708312988281, 'learning_rate': 4.4977902772197675e-05, 'epoch': 0.4}
{'loss': 2.5435, 'grad_norm': 4.665029525756836, 'learning_rate': 4.447569304941744e-05, 'epoch': 0.44}
{'loss': 3.2798, 'grad_norm': 4.990794658660889, 'learning_rate': 4.3973483326637204e-05, 'epoch': 0.48}
{'loss': 3.2168, 'grad_norm': 4.4079670906066895, 'learning_rate': 4.347127360385697e-05, 'epoch': 0.52}
{'loss': 1.5044, 'grad_norm': 81010.71875, 'learning_rate': 4.296906388107674e-05, 'epoch': 0.56}
{'loss': 3.0028, 'grad_norm': 280842.0625, 'learning_rate': 4.2466854158296505e-05, 'epoch': 0.6}
{'loss': 3.4261, 'grad_norm': 158.1752166748047, 'learning_rate': 4.1964644435516276e-05, 'epoch': 0.64}
{'loss': 3.3268, 'grad_norm': 5.299431324005127, 'learning_rate': 4.146243471273604e-05, 'epoch': 0.68}
{'loss': 3.2795, 'grad_norm': 3.9290688037872314, 'learning_rate': 4.096022498995581e-05, 'epoch': 0.72}
{'loss': 3.2669, 'grad_norm': 4.6828107833862305, 'learning_rate': 4.0458015267175576e-05, 'epoch': 0.76}
