## SLURM PROLOG ###############################################################
##    Job ID : 4844375
##  Job Name : bibm_ft
##  Nodelist : gpu3002
##      CPUs : 6
##  Mem/Node : 65536 MB
## Directory : /oscar/data/rsingh47/fperalta
##   Job Started : Wed Aug 12 05:55:55 PM EDT 2026
###############################################################################
arm=proportional train=250,000 val=148,029 labels=45 val_donors=246
{'loss': 0.7836, 'grad_norm': 3.4382665157318115, 'learning_rate': 4.9519969278033797e-05, 'epoch': 0.04}
{'loss': 0.2932, 'grad_norm': 1.7752892971038818, 'learning_rate': 4.903993855606759e-05, 'epoch': 0.08}
{'loss': 0.2601, 'grad_norm': 1.4106342792510986, 'learning_rate': 4.8559907834101385e-05, 'epoch': 0.12}
{'loss': 0.2281, 'grad_norm': 2.4000244140625, 'learning_rate': 4.807987711213518e-05, 'epoch': 0.15}
{'loss': 0.2119, 'grad_norm': 1.3782322406768799, 'learning_rate': 4.759984639016897e-05, 'epoch': 0.19}
{'loss': 0.209, 'grad_norm': 1.1357146501541138, 'learning_rate': 4.711981566820277e-05, 'epoch': 0.23}
{'loss': 0.1795, 'grad_norm': 3.80991268157959, 'learning_rate': 4.663978494623656e-05, 'epoch': 0.27}
{'loss': 0.1999, 'grad_norm': 1.929738998413086, 'learning_rate': 4.6159754224270356e-05, 'epoch': 0.31}
{'loss': 0.188, 'grad_norm': 2.639472723007202, 'learning_rate': 4.567972350230415e-05, 'epoch': 0.35}
{'loss': 0.1752, 'grad_norm': 1.6444408893585205, 'learning_rate': 4.5199692780337944e-05, 'epoch': 0.38}
{'loss': 0.2024, 'grad_norm': 5.5267157554626465, 'learning_rate': 4.471966205837174e-05, 'epoch': 0.42}
{'loss': 0.1897, 'grad_norm': 160.82345581054688, 'learning_rate': 4.423963133640553e-05, 'epoch': 0.46}
{'loss': 0.3121, 'grad_norm': 17.53058624267578, 'learning_rate': 4.3759600614439327e-05, 'epoch': 0.5}
{'loss': 0.2685, 'grad_norm': 855.0580444335938, 'learning_rate': 4.327956989247312e-05, 'epoch': 0.54}
{'loss': 0.6449, 'grad_norm': 75.25379180908203, 'learning_rate': 4.2799539170506915e-05, 'epoch': 0.58}
{'loss': 0.7766, 'grad_norm': 526.0496826171875, 'learning_rate': 4.231950844854071e-05, 'epoch': 0.61}
{'loss': 1.4515, 'grad_norm': 1287.3602294921875, 'learning_rate': 4.18394777265745e-05, 'epoch': 0.65}
{'loss': 0.8244, 'grad_norm': 13460.0107421875, 'learning_rate': 4.13594470046083e-05, 'epoch': 0.69}
{'loss': 1.1904, 'grad_norm': 3256.599853515625, 'learning_rate': 4.087941628264209e-05, 'epoch': 0.73}
{'loss': 1.3571, 'grad_norm': 107853.4296875, 'learning_rate': 4.0399385560675886e-05, 'epoch': 0.77}
{'loss': 1.1633, 'grad_norm': 113507.5546875, 'learning_rate': 3.991935483870968e-05, 'epoch': 0.81}
{'loss': 1.0876, 'grad_norm': 29535.755859375, 'learning_rate': 3.9439324116743474e-05, 'epoch': 0.84}
{'loss': 0.8456, 'grad_norm': 166215.484375, 'learning_rate': 3.895929339477727e-05, 'epoch': 0.88}
{'loss': 0.8452, 'grad_norm': 64114.03515625, 'learning_rate': 3.847926267281106e-05, 'epoch': 0.92}
{'loss': 2.0575, 'grad_norm': 74964.1171875, 'learning_rate': 3.7999231950844856e-05, 'epoch': 0.96}
{'loss': 0.6219, 'grad_norm': 12739.6611328125, 'learning_rate': 3.751920122887865e-05, 'epoch': 1.0}
{'eval_loss': 0.5071329474449158, 'eval_accuracy': 0.8506333333333334, 'eval_macro_f1': 0.7612726051826947, 'eval_runtime': 1212.0289, 'eval_samples_per_second': 24.752, 'eval_steps_per_second': 0.258, 'epoch': 1.0}
{'loss': 0.9925, 'grad_norm': 7963.572265625, 'learning_rate': 3.7039170506912445e-05, 'epoch': 1.04}
{'loss': 1.6678, 'grad_norm': 10196.2373046875, 'learning_rate': 3.655913978494624e-05, 'epoch': 1.08}
{'loss': 0.8244, 'grad_norm': 117298.203125, 'learning_rate': 3.607910906298003e-05, 'epoch': 1.11}
{'loss': 2.0935, 'grad_norm': 840639.6875, 'learning_rate': 3.559907834101383e-05, 'epoch': 1.15}
{'loss': 2.2428, 'grad_norm': 194797.171875, 'learning_rate': 3.511904761904762e-05, 'epoch': 1.19}
{'loss': 1.8749, 'grad_norm': 15457.3896484375, 'learning_rate': 3.4639016897081416e-05, 'epoch': 1.23}
{'loss': 1.7737, 'grad_norm': 28096.734375, 'learning_rate': 3.415898617511521e-05, 'epoch': 1.27}
{'loss': 2.3265, 'grad_norm': 75783.7265625, 'learning_rate': 3.3678955453149004e-05, 'epoch': 1.31}
{'loss': 2.9348, 'grad_norm': 301052.9375, 'learning_rate': 3.31989247311828e-05, 'epoch': 1.34}
{'loss': 1.1973, 'grad_norm': 929269.75, 'learning_rate': 3.271889400921659e-05, 'epoch': 1.38}
{'loss': 2.1523, 'grad_norm': 21924.189453125, 'learning_rate': 3.2238863287250386e-05, 'epoch': 1.42}
{'loss': 2.2035, 'grad_norm': 3315354.5, 'learning_rate': 3.175883256528418e-05, 'epoch': 1.46}
{'loss': 1.872, 'grad_norm': 462487.71875, 'learning_rate': 3.1278801843317975e-05, 'epoch': 1.5}
{'loss': 2.126, 'grad_norm': 11916117.0, 'learning_rate': 3.079877112135177e-05, 'epoch': 1.54}
{'loss': 3.1968, 'grad_norm': 6544696.5, 'learning_rate': 3.0318740399385563e-05, 'epoch': 1.57}
{'loss': 2.4059, 'grad_norm': 360004.65625, 'learning_rate': 2.9838709677419357e-05, 'epoch': 1.61}
{'loss': 1.6207, 'grad_norm': 19147400.0, 'learning_rate': 2.935867895545315e-05, 'epoch': 1.65}
{'loss': 1.4035, 'grad_norm': 23150.73828125, 'learning_rate': 2.8878648233486942e-05, 'epoch': 1.69}
{'loss': 0.8743, 'grad_norm': 1538974.625, 'learning_rate': 2.8398617511520736e-05, 'epoch': 1.73}
{'loss': 0.8851, 'grad_norm': 1232535.125, 'learning_rate': 2.7918586789554534e-05, 'epoch': 1.77}
